Clinic_ID,Clinic_Name,Clinic_Type,Contact_Name,Phone,Email,Parent_Company,Interaction_Date,Product_Interest,Follow_Up,Lead_Source,Industry,Status,Last_Contacted,Clinic_Address,Region,Rep_Name,CRM_Created_Date,Notes
C001,Lopez-Robinson Clinic,Specialty,Tanner Hall,(955)397-6620,melindasims@yahoo.com,EquiPet Enterprises,06-05-2025,Deworming Tablets,Yes,Referral,Animal Hospital,Closed - Not Converted,14-04-2025,"50943 Gail Isle, Hallchester, OK 52526",Limerick,Bryan Zimmerman,23-12-2024,Local ahead above friend investment personal analysis performance five simple public enough entire.
C002,Hernandez-Brown Clinic,Specialty,Gary Rogers,(015)369-1219,jonathan78@golden.biz,VetCare Holdings,24-04-2025,Pain Relief Medication,Yes,Referral,Veterinary,Closed - Converted,16-04-2025,"71320 Ford Coves Suite 884, Lake Jason, IL 67798",Galway,Katie Curtis,19-07-2024,Brother right west spend under great film medical talk drug establish Congress should.
C003,Sullivan Ltd Clinic,Specialty,Tina Hess,078-013-5488,sdavid@gonzales.com,Animal Health Partners,24-04-2025,Dental Cleaning Kits,No,Web Form,Pet Grooming,New,16-04-2025,"64259 Gutierrez Park, Aprilburgh, MD 36383",Dublin,Elizabeth Green,10-06-2024,Someone final rich later lot gun player natural people inside one show various.
C004,"Morales, Kemp and Bailey Clinic",General,William Ruiz,001-204-459-9945x3875,nielsenanthony@swanson.com,CompanionCare Inc.,24-04-2025,Post-Surgery Antibiotics,No,Phone Inquiry,Animal Hospital,Closed - Not Converted,08-05-2025,"232 Hernandez Vista, Mileston, TN 17277",Dublin,Bryan Zimmerman,02-06-2024,Girl agreement peace reason so live add might hundred smile agent fish improve play.
C005,Allen Ltd Clinic,Emergency,Shannon Nicholson,3222219156,edgarsmith@miller.com,Animal Health Partners,30-04-2025,Dental Cleaning Kits,Yes,Referral,Veterinary,Closed - Converted,26-04-2025,"5152 Jose Burg Apt. 038, Lake Christina, MA 49775",Dublin,Ricardo Russell,13-08-2024,Marriage spend thank head require pattern question believe community central indicate show.
C006,Hicks LLC Clinic,Emergency,Juan Wilson,582.244.3664,shawn26@yahoo.com,CompanionCare Inc.,21-04-2025,Joint Support Supplements,Yes,Web Form,Pet Grooming,Working,19-04-2025,"53959 Lewis Causeway, West Markstad, GA 73031",Waterford,Ricardo Russell,27-06-2024,Inside other garden consumer begin quite show pull outside site painting left sometimes.
C007,Heath-Hunter Clinic,Specialty,William Davis,(115)276-9571x093,amandavazquez@gmail.com,Zoovet Corporates,13-04-2025,Feline Vaccines,No,Phone Inquiry,Animal Hospital,Closed - Not Converted,15-04-2025,"6795 Diaz Harbor, South James, UT 16238",Cork,Matthew Gonzales,14-09-2024,None no large cause method movie start great method degree anyone rich blood.
C008,Pratt-Frazier Clinic,Emergency,Victoria Walsh,434-413-5538,millerpaul@gmail.com,WellPaws Holdings,28-04-2025,Deworming Tablets,Yes,Phone Inquiry,Pet Grooming,Closed - Converted,27-04-2025,"USNV Oneal, FPO AA 42961",Galway,Elizabeth Green,27-08-2024,Exactly resource again middle small rate upon some commercial eat happen specific enter.
C009,"Schultz, Stone and Lyons Clinic",Specialty,Alexandria Jordan,994.291.0712,thouston@waters-ellis.org,Canine & Feline Group,10-05-2025,Pain Relief Medication,No,Referral,Animal Hospital,New,21-04-2025,"724 Jones Ramp Suite 927, Mitchellberg, MO 29956",Cork,Matthew Gonzales,23-02-2025,Include town mission agreement break hospital four east.
C010,"Park, Larson and Dyer Clinic",General,Patrick Valdez,750.524.1075,wrightnicholas@clark-white.com,PetWell Group,30-04-2025,Pain Relief Medication,Yes,Phone Inquiry,Veterinary,Closed - Converted,29-04-2025,"PSC 2700, Box 1823, APO AA 09244",Limerick,Bryan Zimmerman,03-04-2025,Including spring pretty list worry together national hundred reveal baby west teacher letter movie personal water.
C011,"Humphrey, Reese and Blair Clinic",General,Daniel Petersen,129-375-5812,trujillorenee@bentley.com,PetWell Group,19-04-2025,Joint Support Supplements,No,Web Form,Pet Grooming,New,23-04-2025,"0191 Robinson Creek, West Shawn, OH 80109",Galway,Bryan Zimmerman,30-05-2024,Employee past example agent significant they doctor fine forget edge reduce much eight.
C012,"Hayes, James and Molina Clinic",Specialty,Dr. Linda Williams,(198)803-7030x447,michael02@hotmail.com,Independent Clinics,21-04-2025,Canine Vaccines,No,Referral,Pet Grooming,New,21-04-2025,"5503 Mcmillan Mount, Brownfort, WV 87982",Cork,Ricardo Russell,10-03-2025,Yard direction arrive score future quality fill professor when beautiful order special explain television himself.
C013,Pierce-Hobbs Clinic,Specialty,Teresa Dixon,001-661-157-3709x61047,katherinestafford@lawrence-jackson.com,VetCare Holdings,02-05-2025,Feline Vaccines,No,Trade Show,Animal Hospital,Closed - Not Converted,03-05-2025,"1785 Alan Shoal Apt. 432, Owenstown, NE 99087",Limerick,Matthew Gonzales,14-10-2024,Message nation force form safe hair religious or agency work about during.
C014,"Klein, Hurst and Lopez Clinic",Specialty,Nicole Frank,001-711-915-3414x429,nhoffman@yahoo.com,Independent Clinics,20-04-2025,Post-Surgery Antibiotics,Yes,Phone Inquiry,Animal Hospital,Closed - Converted,03-05-2025,"USNV Taylor, FPO AE 51828",Limerick,Ricardo Russell,20-01-2025,Attorney respond house people voice act meeting yes shake describe so yes.
C015,Lewis LLC Clinic,Specialty,Robert Khan,001-491-546-7256,tracy86@robles.com,VetCare Holdings,08-05-2025,Canine Vaccines,Yes,Referral,Pet Grooming,Closed - Not Converted,09-05-2025,"396 Elizabeth Turnpike, West Whitney, SC 99855",Waterford,Elizabeth Green,20-03-2025,Democratic wall attention Mr study capital civil father director reflect him I.
C016,Ferguson-Richardson Clinic,General,Johnny Daniels,(458)831-2029x5434,george26@yahoo.com,PetPrime Group,20-04-2025,Dental Cleaning Kits,No,Web Form,Animal Hospital,Working,17-04-2025,"Unit 0447 Box 8936, DPO AE 67083",Galway,Katherine Davis,16-02-2025,Because fire rule day show mother cover present whose.
C017,Chapman Inc Clinic,General,Barbara Russell,+1-623-241-4792x2198,brandygreen@yahoo.com,PetWell Group,20-04-2025,Joint Support Supplements,Yes,Web Form,Pet Grooming,Working,26-04-2025,"54211 Joseph Lock, Reneefurt, OR 19055",Dublin,Katie Curtis,15-09-2024,Religious animal difficult high out money indicate put language treat throw put.
